city,country,latitude,longitude,date,cloudiness,humidity,max_temp,windspeed
New Norfolk,AU,-42.7826,147.0587,1651192286,100,82,67.91,4.12
Ostrovnoy,RU,68.0531,39.5131,1651192286,96,85,16.05,19.71
Metro,ID,-5.1131,105.3067,1651192286,94,82,79.45,3.24
Kirakira,SB,-10.4544,161.9205,1651192287,100,75,84.24,4.29
Mataura,NZ,-46.1927,168.8643,1651192287,3,65,58.48,0.72
Ilulissat,GL,69.2167,-51.1,1651192288,40,93,26.62,0.0
Cidreira,BR,-30.1811,-50.2056,1651192288,100,89,65.59,7.11
Fortuna,US,40.5982,-124.1573,1651192288,40,65,58.86,11.5
Harper,LR,4.375,-7.7169,1651192289,85,81,79.32,0.27
Nyurba,RU,63.2842,118.3319,1651192289,60,82,35.74,4.54
Racine,US,42.7495,-88.0751,1651192290,100,71,45.1,8.05
Yerbogachën,RU,61.2767,108.0108,1651192290,43,71,39.97,9.1
Tāndā,IN,26.55,82.65,1651192290,0,18,84.54,4.7
Hobart,AU,-42.8794,147.3294,1651192291,75,78,68.25,6.91
Baie-Saint-Paul,CA,47.4411,-70.4986,1651192291,100,84,45.45,7.74
Hong Kong,HK,22.2855,114.1577,1651192055,18,84,84.96,8.99
Komatipoort,ZA,-25.4332,31.9548,1651192292,0,93,56.05,2.77
Albany,US,42.6001,-73.9662,1651192077,13,27,46.81,1.01
Ushuaia,AR,-54.8,-68.3,1651192292,40,75,42.46,26.46
Punta Arenas,CL,-53.15,-70.9167,1651192293,40,81,42.91,24.16
Vostok,RU,46.4856,135.8833,1651192293,0,29,44.46,8.77
Isangel,VU,-19.55,169.2667,1651192294,100,88,73.51,4.61
Santander,ES,43.4647,-3.8044,1651192294,0,93,54.46,1.14
Kapaa,US,22.0752,-159.319,1651192295,40,84,80.58,13.8
Griffith,US,41.5284,-87.4237,1651192295,100,65,50.38,12.66
Busselton,AU,-33.65,115.3333,1651192296,3,65,60.17,3.49
Aytos,BG,42.7,27.25,1651192296,100,93,54.82,5.44
Norman Wells,CA,65.282,-126.8329,1651192297,75,56,41.04,10.36
Nuevo Progreso,MX,23.1667,-97.95,1651192297,17,68,79.54,5.01
Hansot,IN,21.5833,72.8,1651192297,0,49,85.55,4.99
Yellowknife,CA,62.456,-114.3525,1651192222,20,60,36.12,19.57
Nauta,PE,-4.5061,-73.5757,1651192298,100,97,73.69,1.72
Paamiut,GL,61.994,-49.6678,1651192298,100,91,36.1,12.03
George Town,MY,5.4112,100.3354,1651192299,20,94,80.53,3.44
Port Alfred,ZA,-33.5906,26.891,1651192300,4,53,66.34,8.43
Pula,HR,44.8683,13.8481,1651192300,0,47,55.96,8.05
Deputatsky,RU,69.3,139.9,1651192300,84,84,13.75,2.68
Cockburn Town,TC,21.4612,-71.1419,1651192301,40,53,75.16,6.91
Shenjiamen,CN,29.9576,122.298,1651192301,100,88,56.52,19.51
Sitka,US,57.0531,-135.33,1651192302,40,58,51.69,6.91
Hithadhoo,MV,-0.6,73.0833,1651192302,34,65,84.74,5.06
Jamestown,US,42.097,-79.2353,1651192052,0,41,40.64,4.61
Hermanus,ZA,-34.4187,19.2345,1651192303,100,91,60.19,5.86
Rikitea,PF,-23.1203,-134.9692,1651192303,0,67,77.11,18.37
Hambantota,LK,6.1241,81.1185,1651192304,20,100,73.74,3.44
Alofi,NU,-19.0595,-169.9187,1651192304,75,83,80.49,19.57
Shīeli,KZ,44.1667,66.75,1651192305,100,28,65.21,2.48
Manaus,BR,-3.1019,-60.025,1651192305,0,89,79.29,2.3
Saldanha,ZA,-33.0117,17.9442,1651192305,19,90,60.85,10.36
Dāmghān,IR,36.1683,54.348,1651192306,99,47,66.67,0.18
Wau,SS,7.7029,27.9953,1651192205,100,68,77.83,5.75
Wamba,NG,8.9333,8.6,1651192306,100,70,78.55,2.26
Bethel,US,41.3712,-73.414,1651192307,0,35,50.09,12.66
Puerto Ayora,EC,-0.7393,-90.3518,1651192307,3,89,71.94,8.01
Khatanga,RU,71.9667,102.5,1651192308,90,92,15.93,3.98
Kashin,RU,57.3592,37.6081,1651192308,41,98,30.92,4.12
Ust-Nera,RU,64.5667,143.2,1651192308,18,78,18.72,5.46
Avarua,CK,-21.2078,-159.775,1651192309,40,78,82.45,10.36
Tezu,IN,27.9167,96.1667,1651192309,8,47,81.16,0.87
Laas,IT,46.6166,10.7002,1651192310,0,64,49.08,1.68
Pevek,RU,69.7008,170.3133,1651192310,100,94,28.17,8.72
Klaksvík,FO,62.2266,-6.589,1651192310,8,79,41.92,3.11
Bredasdorp,ZA,-34.5322,20.0403,1651192311,100,95,56.41,5.79
Atuona,PF,-9.8,-139.0333,1651192311,44,75,79.23,20.09
Port Elizabeth,ZA,-33.918,25.5701,1651192311,0,74,60.31,3.44
Road Town,VG,18.4167,-64.6167,1651192312,40,69,77.04,11.5
Tursunzoda,TJ,38.5144,68.2333,1651192312,99,49,68.32,7.76
College,US,64.8569,-147.8028,1651192215,75,39,52.81,4.61
Maragogi,BR,-9.0122,-35.2225,1651192313,100,79,77.7,10.18
Kasongo-Lunda,CD,-6.4667,16.8167,1651192313,65,98,68.72,0.29
Bollnäs,SE,61.3482,16.3946,1651192313,86,74,30.97,4.25
Chokurdakh,RU,70.6333,147.9167,1651192314,53,90,6.62,4.43
Jacareacanga,BR,-6.2222,-57.7528,1651192315,100,98,73.06,2.08
Vaini,TO,-21.2,-175.2,1651192315,75,65,80.76,11.5
Pacific Grove,US,36.6177,-121.9166,1651192315,20,71,64.54,16.11
Cabo San Lucas,MX,22.8909,-109.9124,1651192214,0,28,84.61,6.91
Coyhaique,CL,-45.5752,-72.0662,1651192316,40,86,31.95,3.44
Chegdomyn,RU,51.1167,133.0167,1651192316,4,52,42.82,4.29
Suileng,CN,47.25,127.0833,1651192317,40,21,54.18,13.56
Bambous Virieux,MU,-20.3428,57.7575,1651192317,40,94,74.21,3.44
Tiznit Province,MA,29.5833,-9.5,1651192317,94,71,58.71,5.64
Tuktoyaktuk,CA,69.4541,-133.0374,1651192318,100,85,12.2,17.27
Pisco,PE,-13.7,-76.2167,1651192318,0,77,66.25,9.22
Necochea,AR,-38.5473,-58.7368,1651192319,99,55,49.3,13.76
kimparana,ML,12.8347,-4.9244,1651192319,92,50,84.65,6.91
Port Hedland,AU,-20.3167,118.5667,1651192320,75,94,71.65,10.36
Saint-Philippe,RE,-21.3585,55.7679,1651192320,41,81,74.79,12.48
Guerrero Negro,MX,27.9769,-114.0611,1651192184,0,63,63.75,21.18
Provideniya,RU,64.3833,-173.3,1651192320,75,80,32.36,20.13
Upernavik,GL,72.7868,-56.1549,1651192321,100,90,13.33,5.17
Tiksi,RU,71.6872,128.8694,1651192321,72,84,16.92,7.34
Popondetta,PG,-8.7537,148.2534,1651192322,100,56,89.51,3.38
Nara,JP,34.6851,135.8049,1651192322,100,60,67.37,9.86
Saint Anthony,US,45.0205,-93.218,1651192323,100,62,51.42,16.11
Faanui,PF,-16.4833,-151.75,1651192323,0,72,81.9,23.15
Thompson,CA,55.7435,-97.8558,1651192324,75,39,46.56,9.22
Husavik,IS,66.0449,-17.3389,1651192324,8,65,42.66,4.97
Bengkulu,ID,-3.8004,102.2655,1651192325,95,77,80.1,3.22
Krasnosel'kup,RU,65.7,82.4667,1651192325,96,95,25.86,13.56
Departamento de Maldonado,UY,-34.6667,-54.9167,1651192325,5,59,56.23,6.33
Alice Springs,AU,-23.7,133.8833,1651192230,2,24,83.75,8.05
